,Mom   
19261103,   0.56
19261104,  -0.50
19261105,   1.17
19261106,  -0.03
19261108,  -0.01
19261109,   0.13
19261110,   0.28
19261111,  -0.94
19261112,  -0.34
19261113,   0.41
19261115,   0.00
19261116,  -0.07
19261117,   0.12
19261118,   0.57
19261119,   0.19
19261120,  -0.35
19261122,  -0.11
19261123,   0.54
19261124,  -0.42
19261126,  -0.25
19261127,   0.46
19261129,  -0.09
19261130,   0.16
19261201,  -0.01
19261202,  -0.05
19261203,  -0.59
19261204,   0.08
19261206,   0.20
19261207,   0.28
19261208,   0.19
19261209,  -0.52
19261210,   0.00
19261211,  -0.48
19261213,  -0.72
19261214,   0.60
19261215,  -0.32
19261216,  -0.01
19261217,   0.13
19261218,  -0.27
19261220,   0.69
19261221,   0.51
19261222,   0.04
19261223,   0.40
19261224,   0.28
19261227,   0.25
19261228,   0.36
19261229,  -0.12
19261230,   0.02
19261231,  -0.70
19270103,   0.01
19270104,  -0.29
19270105,  -0.49
19270106,  -0.06
19270107,   0.67
19270108,  -0.52
19270110,   0.14
19270111,   0.21
19270112,   0.30
19270113,   0.30
19270114,   0.50
19270115,   0.88
19270117,   0.00
19270118,  -0.25
19270119,  -0.48
19270120,   0.16
19270121,   0.31
19270122,   0.82
19270124,   0.20
19270125,  -0.35
19270126,   0.42
19270127,  -0.28
19270128,   0.34
19270129,   0.48
19270131,   0.46
19270201,  -0.19
19270202,  -0.17
19270203,   0.46
19270204,  -0.70
19270205,   0.03
19270207,  -0.45
19270208,  -0.17
19270209,  -0.35
19270210,  -0.09
19270211,   0.01
19270214,   0.45
19270215,   0.27
19270216,   0.43
19270217,   0.67
19270218,   0.29
19270219,  -0.39
19270221,  -0.02
19270223,   0.17
19270224,  -0.05
19270225,  -0.50
19270226,   0.08
19270228,   0.30
19270301,   0.20
19270302,  -0.23
19270303,   0.75
19270304,  -0.31
19270305,   0.05
19270307,   0.27
19270308,  -0.02
19270309,   0.37
19270310,   0.41
19270311,   0.59
19270312,  -0.61
19270314,   0.51
19270315,  -0.11
19270316,   1.09
19270317,   0.15
19270318,  -0.22
19270319,   0.06
19270321,   0.22
19270322,  -0.56
19270323,  -0.22
19270324,   0.89
19270325,   0.11
19270326,  -0.48
19270328,   0.47
19270329,   0.51
19270330,   0.68
19270331,  -0.13
19270401,   0.43
19270402,  -0.10
19270404,   0.97
19270405,   0.26
19270406,   0.01
19270407,  -0.21
19270408,   0.92
19270409,   0.92
19270411,  -0.19
19270412,  -0.73
19270413,  -0.17
19270414,  -0.29
19270416,   0.44
19270418,   0.38
19270419,  -0.02
19270420,  -0.09
19270421,   0.19
19270422,   0.43
19270423,   0.27
19270425,  -0.55
19270426,   0.53
19270427,   0.99
19270428,  -0.35
19270429,   0.24
19270430,   0.00
19270502,   0.38
19270503,   0.52
19270504,  -0.50
19270505,  -0.34
19270506,  -0.11
19270507,  -0.21
19270509,   0.61
19270510,   0.03
19270511,  -0.39
19270512,  -0.09
19270513,   0.96
19270514,  -0.17
19270516,  -0.03
19270517,   0.77
19270518,   0.57
19270519,   0.35
19270520,   0.06
19270521,  -0.57
19270523,   0.95
19270524,  -0.16
19270525,   0.16
19270526,  -0.46
19270527,   0.83
19270528,  -0.23
19270531,   0.76
19270601,   1.48
19270602,   0.09
19270603,  -0.61
19270604,   0.56
19270606,   0.28
19270607,  -0.48
19270608,  -0.40
19270609,  -0.03
19270610,  -0.33
19270611,  -0.05
19270614,  -0.86
19270615,   0.96
19270616,   0.65
19270617,   0.47
19270618,   0.08
19270620,  -0.24
19270621,   0.20
19270622,   0.16
19270623,  -0.52
19270624,   0.31
19270625,   0.58
19270627,  -0.33
19270628,  -0.09
19270629,  -0.13
19270630,   0.13
19270701,   0.52
19270702,   0.35
19270705,   0.47
19270706,   0.17
19270707,   0.13
19270708,   0.65
19270709,  -0.17
19270711,   0.51
19270712,  -0.18
19270713,   0.16
19270714,   0.54
19270715,  -0.07
19270716,  -0.54
19270718,   0.01
19270719,   0.09
19270720,   0.54
19270721,  -0.05
19270722,  -0.71
19270723,   0.06
19270725,  -0.01
19270726,   0.14
19270727,  -0.11
19270728,  -0.03
19270729,   0.14
19270730,   0.61
19270801,   1.02
19270802,  -0.02
19270803,  -1.11
19270804,  -0.70
19270805,  -0.90
19270806,   0.36
19270808,  -0.86
19270809,   0.80
19270810,   0.17
19270811,  -0.78
19270812,  -1.26
19270813,   0.86
19270815,   0.25
19270816,   0.91
19270817,  -0.02
19270818,   0.09
19270819,   0.70
19270820,   0.39
19270822,   0.72
19270823,   0.20
19270824,   0.60
19270825,   0.57
19270826,   0.41
19270827,   0.25
19270829,   0.51
19270830,   0.22
19270831,  -0.63
19270901,   0.55
19270902,   0.61
19270903,  -0.07
19270906,   0.33
19270907,  -0.06
19270908,  -0.35
19270909,  -0.85
19270910,   0.23
19270912,  -0.52
19270913,   0.35
19270914,   0.77
19270915,   0.32
19270916,   0.74
19270917,  -0.24
19270919,  -0.33
19270920,   0.10
19270921,  -0.74
19270922,  -0.03
19270923,   0.78
19270924,   0.43
19270926,  -0.28
19270927,   0.61
19270928,  -0.46
19270929,   0.27
19270930,   0.67
19271001,   0.39
19271003,   0.68
19271004,  -0.32
19271005,   0.10
19271006,   0.57
19271007,  -0.40
19271008,   0.14
19271010,  -0.20
19271011,   0.23
19271013,   0.69
19271014,  -0.41
19271015,  -0.07
19271017,  -0.77
19271018,   0.34
19271019,  -0.52
19271020,  -0.33
19271021,  -1.43
19271022,  -0.68
19271024,  -0.61
19271025,   1.68
19271026,   0.11
19271027,   0.04
19271028,  -0.74
19271029,  -0.51
19271031,   0.21
19271101,  -0.13
19271102,  -0.03
19271103,  -0.94
19271104,   0.18
19271105,   0.91
19271107,   1.12
19271109,  -0.33
19271110,   0.17
19271111,   0.81
19271112,  -0.29
19271114,   0.40
19271115,  -0.97
19271116,   0.21
19271117,   0.01
19271118,  -0.16
19271119,   0.13
19271121,  -0.73
19271122,   0.51
19271123,  -0.42
19271125,  -0.44
19271126,  -0.41
19271128,  -0.70
19271129,   0.09
19271130,   1.19
19271201,   0.00
19271202,   0.89
19271203,   0.30
19271205,  -0.03
19271206,   0.14
19271207,   0.38
19271208,  -0.22
19271209,   0.77
19271210,   0.09
19271212,   0.06
19271213,  -0.14
19271214,  -0.31
19271215,  -0.02
19271216,   0.51
19271217,  -1.02
19271219,   0.38
19271220,   0.32
19271221,   0.00
19271222,  -0.15
19271223,   0.40
19271224,   0.29
19271227,   0.26
19271228,  -0.32
19271229,   0.61
19271230,  -1.29
19271231,  -0.28
19280103,  -0.48
19280104,  -0.40
19280105,  -0.57
19280106,   0.43
19280107,  -0.03
19280109,  -0.76
19280110,  -0.11
19280111,  -0.23
19280112,  -0.28
19280113,  -0.21
19280114,  -0.28
19280116,  -0.34
19280117,   0.35
19280118,   0.33
19280119,   0.40
19280120,   0.00
19280121,  -0.06
19280123,   0.95
19280124,   0.51
19280125,  -0.18
19280126,   0.19
19280127,  -0.03
19280128,  -0.25
19280130,  -0.07
19280131,   0.69
19280201,   0.52
19280202,   0.35
19280203,  -0.43
19280204,   0.33
19280206,   0.17
19280207,   0.38
19280208,   0.68
19280209,  -0.32
19280210,  -0.10
19280211,   0.10
19280214,  -0.15
19280215,  -0.06
19280216,   0.13
19280217,  -0.20
19280218,  -0.39
19280220,  -0.36
19280221,   0.19
19280223,  -0.29
19280224,  -0.19
19280225,  -0.52
19280227,   0.49
19280228,  -0.30
19280229,  -0.03
19280301,   0.06
19280302,   0.12
19280303,   0.70
19280305,   0.78
19280306,   0.89
19280307,   0.39
19280308,  -0.39
19280309,   1.44
19280310,   0.02
19280312,  -0.09
19280313,   0.17
19280314,  -0.27
19280315,   0.05
19280316,   0.00
19280317,  -0.24
19280319,  -0.28
19280320,   0.41
19280321,   0.94
19280322,   0.27
19280323,   1.47
19280324,   0.52
19280326,   0.73
19280327,  -0.77
19280328,  -1.09
19280329,  -0.11
19280330,   1.54
19280331,  -0.44
19280402,  -0.79
19280403,   0.57
19280404,   0.21
19280405,   0.13
19280409,  -0.24
19280410,  -0.25
19280411,  -0.22
19280412,   0.13
19280413,  -0.26
19280414,  -0.20
19280416,  -1.68
19280417,   0.02
19280418,  -0.11
19280419,   0.10
19280420,   0.18
19280423,  -0.55
19280424,   0.57
19280425,  -1.14
19280426,   0.02
19280427,   0.40
19280428,  -0.12
19280430,   0.14
19280501,   0.60
19280502,   0.76
19280503,   0.53
19280504,   1.18
19280507,   0.44
19280508,  -0.23
19280509,  -0.77
19280510,   0.12
19280511,   0.20
19280514,   0.37
19280515,   0.52
19280516,  -0.40
19280517,   0.76
19280518,  -0.78
19280521,  -0.34
19280522,  -1.14
19280523,   1.19
19280524,   0.22
19280525,   0.02
19280528,  -0.84
19280529,   0.96
19280531,   0.70
19280601,   0.17
19280602,   0.45
19280604,  -1.19
19280605,   0.52
19280606,  -0.43
19280607,   0.32
19280608,  -0.50
19280609,  -0.33
19280611,  -1.62
19280612,  -1.50
19280613,   1.11
19280614,   1.00
19280615,  -1.23
19280616,   0.47
19280618,  -0.27
19280619,  -0.05
19280620,   1.40
19280621,  -0.91
19280622,   0.08
19280623,  -0.39
19280625,   0.19
19280626,   0.98
19280627,   0.89
19280628,   1.16
19280629,   0.20
19280630,   0.06
19280702,  -0.87
19280703,   1.17
19280705,   0.17
19280706,  -0.55
19280707,  -0.16
19280709,   0.32
19280710,   0.53
19280711,  -1.14
19280712,  -0.58
19280713,   0.40
19280714,  -0.20
19280716,  -0.20
19280717,   0.76
19280718,   0.63
19280719,  -0.06
19280720,   0.03
19280721,  -0.04
19280723,   0.05
19280724,  -0.03
19280725,   0.29
19280726,   0.06
19280727,   0.52
19280728,   0.22
19280730,   0.21
19280731,   0.07
19280801,   0.09
19280802,  -0.27
19280803,   0.22
19280804,  -0.07
19280806,   0.61
19280807,  -0.02
19280808,  -0.81
19280809,   0.56
19280810,  -0.04
19280811,  -0.38
19280813,   0.12
19280814,  -0.48
19280815,   0.78
19280816,   0.19
19280817,   0.22
19280818,  -0.02
19280820,  -0.05
19280821,   0.09
19280822,   0.40
19280823,   0.49
19280824,   1.08
19280825,   0.13
19280827,  -0.51
19280828,  -0.09
19280829,   0.31
19280830,   0.50
19280831,   0.47
19280901,  -0.02
19280904,   0.01
19280905,   0.52
19280906,  -0.16
19280907,   0.68
19280908,  -0.42
19280910,   0.06
19280911,   0.62
19280912,   0.42
19280913,   0.29
19280914,  -0.45
19280915,  -0.02
19280917,   0.64
19280918,   0.43
19280919,   0.12
19280920,   0.73
19280921,   1.20
19280922,   0.02
19280924,   0.66
19280925,   0.29
19280926,  -0.34
19280927,  -1.16
19280928,   0.32
19280929,   0.84
19281001,  -0.02
19281002,   0.29
19281003,   0.23
19281004,   0.84
19281005,   0.13
19281006,  -0.11
19281008,  -0.10
19281009,   0.62
19281010,   0.13
19281011,   1.01
19281013,   0.40
19281015,  -0.01
19281016,  -0.03
19281017,   0.14
19281018,   0.33
19281019,   0.59
19281020,  -0.49
19281022,  -0.42
19281023,   0.70
19281024,   0.19
19281025,  -0.09
19281026,  -0.62
19281027,   0.75
19281029,  -0.15
19281030,  -0.41
19281031,  -0.50
19281101,   0.57
19281102,  -0.01
19281103,  -0.06
19281105,   0.59
19281107,   0.85
19281108,  -0.33
19281109,  -0.21
19281110,   0.67
19281112,   0.24
19281113,   0.01
19281114,  -0.55
19281115,   0.14
19281116,  -0.09
19281117,   0.07
19281119,  -0.52
19281120,   0.28
19281121,  -0.53
19281122,   0.90
19281123,   0.50
19281126,  -0.28
19281127,  -0.26
19281128,   0.93
19281130,   0.66
19281201,   0.03
19281203,  -0.63
19281204,   0.69
19281205,  -0.24
19281206,  -1.84
19281207,  -1.94
19281208,  -1.45
19281210,   1.27
19281211,   1.36
19281212,  -0.52
19281213,  -0.78
19281214,  -0.11
19281215,  -0.29
19281217,  -0.70
19281218,   1.37
19281219,   0.86
19281220,   0.53
19281221,   0.96
19281222,   0.50
19281224,   0.59
19281226,  -0.44
19281227,   0.73
19281228,   0.46
19281229,   0.37
19281231,   0.63
19290102,   0.92
19290103,  -0.12
19290104,  -0.80
19290105,  -0.18
19290107,   0.16
19290108,   0.21
19290109,   0.68
19290110,  -0.02
19290111,  -0.11
19290112,  -0.04
19290114,  -0.21
19290115,  -0.36
19290116,   0.96
19290117,   0.93
19290118,   0.35
19290119,   0.44
19290121,   0.05
19290122,   0.81
19290123,  -0.17
19290124,  -0.01
19290125,   0.54
19290126,   0.31
19290128,   0.19
19290129,  -0.05
19290130,  -0.24
19290131,  -0.60
19290201,   0.64
19290202,   0.09
19290204,   0.05
19290205,   0.58
19290206,  -0.36
19290207,  -1.15
19290208,  -0.67
19290211,   2.46
19290213,   0.34
19290214,  -0.23
19290215,  -1.17
19290216,  -0.67
19290218,   1.52
19290219,   0.44
19290220,   0.47
19290221,  -0.09
19290225,   0.11
19290226,   0.24
19290227,   0.57
19290228,   0.76
19290301,   0.64
19290302,  -0.27
19290304,  -0.28
19290305,  -0.46
19290306,  -0.22
19290307,   0.53
19290308,   0.17
19290309,  -0.38
19290311,  -0.81
19290312,   0.27
19290313,   0.43
19290314,   0.85
19290315,  -0.39
19290316,   0.13
19290318,  -0.44
19290319,   0.14
19290320,  -0.99
19290321,   0.08
19290322,  -0.54
19290323,  -0.29
19290325,  -0.99
19290326,   0.61
19290327,   0.58
19290328,   0.20
19290401,  -0.40
19290402,  -0.81
19290403,  -0.32
19290404,   1.15
19290405,   0.18
19290406,  -0.34
19290408,  -0.61
19290409,  -0.53
19290410,   0.39
19290411,   1.07
19290412,  -0.37
19290413,  -0.51
19290415,  -0.86
19290416,   0.19
19290417,   1.02
19290418,   0.11
19290419,  -0.27
19290420,   0.27
19290422,   1.14
19290423,  -0.22
19290424,  -0.63
19290425,   0.40
19290426,  -0.08
19290427,   0.58
19290429,   0.53
19290430,   1.43
19290501,   0.65
19290502,   0.92
19290503,   0.23
19290504,  -0.41
19290506,  -0.11
19290507,  -1.02
19290508,  -0.23
19290509,   0.02
19290510,   0.74
19290511,   0.39
19290513,  -1.16
19290514,   1.06
19290515,  -0.30
19290516,  -0.09
19290517,   0.51
19290518,  -0.14
19290520,  -1.67
19290521,   0.78
19290522,  -0.98
19290523,   1.24
19290524,  -0.63
19290525,   0.50
19290527,  -1.13
19290528,   1.36
19290529,  -0.58
19290531,   0.32
19290601,   0.67
19290603,   0.09
19290604,   1.20
19290605,   0.01
19290606,  -0.07
19290607,  -0.11
19290608,  -0.10
19290610,  -0.04
19290611,   0.91
19290612,   0.64
19290613,   0.25
19290614,   0.36
19290615,   0.44
19290617,  -0.41
19290618,   0.01
19290619,  -0.18
19290620,   0.67
19290621,   0.12
19290622,  -0.04
19290624,   0.25
19290625,   0.52
19290626,   0.80
19290627,   0.75
19290628,   1.18
19290629,   0.39
19290701,  -0.14
19290702,   0.94
19290703,   0.21
19290705,  -1.36
19290706,  -0.02
19290708,  -0.70
19290709,  -0.12
19290710,   0.17
19290711,   0.32
19290712,   0.55
19290713,   0.39
19290715,   0.01
19290716,   0.60
19290717,   0.80
19290718,   0.43
19290719,   0.73
19290720,   0.25
19290722,   0.10
19290723,   0.59
19290724,   0.38
19290725,   0.03
19290726,   0.68
19290727,  -0.26
19290729,  -0.56
19290730,   0.24
19290731,   0.65
19290801,   0.95
19290802,   0.70
19290803,  -0.59
19290805,   0.40
19290806,   0.08
19290807,   0.59
19290808,   0.38
19290809,  -0.44
19290810,   0.27
19290812,   0.72
19290813,   0.43
19290814,   0.35
19290815,  -0.60
19290816,  -0.78
19290817,   0.22
19290819,   0.27
19290820,  -0.06
19290821,  -1.02
19290822,   0.99
19290823,   0.44
19290824,   0.16
19290826,   0.74
19290827,   0.46
19290828,  -0.34
19290829,   0.13
19290830,   1.07
19290903,   0.66
19290904,  -1.80
19290905,   0.18
19290906,  -0.28
19290907,   0.14
19290909,   0.82
19290910,   0.05
19290911,   0.28
19290912,  -0.56
19290913,   0.01
19290914,  -0.45
19290916,  -0.67
19290917,  -0.10
19290918,   1.35
19290919,   0.37
19290920,   0.62
19290921,   0.07
19290923,   0.83
19290924,  -0.69
19290925,   0.32
19290926,   0.72
19290927,  -0.41
19290928,  -0.17
19290930,   0.27
19291001,   0.26
19291002,  -0.14
19291003,  -0.05
19291004,   0.61
19291005,  -1.56
19291007,  -0.36
19291008,  -0.12
19291009,   0.34
19291010,   1.77
19291011,   0.54
19291014,  -1.12
19291015,  -0.14
19291016,  -1.28
19291017,   1.02
19291018,  -0.25
19291019,  -0.36
19291021,   0.55
19291022,   1.33
19291023,   0.02
19291024,   2.60
19291025,  -0.56
19291026,  -1.83
19291028,  -0.85
19291029,   3.82
19291030,   3.68
19291031,  -0.52
19291104,  -2.74
